"recipe_id"|"step_number"|"step"
19|1|"In a medium sized mixing bowl, add boneless skinless chicken breast, 1 tablespoon of the soy sauce, 2 teaspoons of the rice wine vinegar, and 1.5 teaspoons of the cornstarch.Toss to coat the chicken well, and set aside for later."
19|2|"In a small sized mixing bowl, add 1/2 cup water, hoisin sauce, garlic, fresh ginger root, 2 tablespoons of the soy sauce, 1 tablespoon of the rice wine vinegar, 1 1/2 teaspoons of cornstarch, and crushed red pepper. Stir to mix well. Set aside for later."
19|3|"In a wok, or large nonstick skillet, add 2 teaspoons of canola oil. Heat over medium/high heat.When hot, add coated chicken. Stir frequently, and cook approximatley 5 minutes, or until chicken has cooked through, and is lightly browned.Remove chicken from wok and set aside for later."
19|4|"In the same wok or skillet, add 1 teaspoon canola oil, and heat over medium/high heat.When hot, add sweet red pepper, stir and cook for approximately 4 minutes, or until tender yet crisp.Add in sauce mixture and heat to a boil, stirring occasionally.Cook and stir approximately 30 seconds, or until the sauce has thickened."
19|5|"Return the chicken to the wok, and add scallions and peanuts. Toss to mix in, and cook until heated."
19|6|"Serving size: 1 Cup"
24|1|"In a large saucepan, cook the sausage and onion over medium heat 4-6 minutes or until sausage is no longer pink and onion is tender, breaking up sausage into crumbles; drain"
24|2|"Stir in seasonings. Add the potatoes, kale, milk and cream; bring to a boil. Reduce heat; simmer, covered, for 10-15 minutes or until potatoes are tender"
24|3|"In a small bowl, mix cornstarch and water unil smooth; stir in soup. Return to a boil, stirring constantly; cook and stir 1-2 minutes or until thickened"
24|4|"Server 1 1/2 Cups, 504 cals"
25|1|"Cook a cup of jasmine rice"
25|2|"Heat the oil in a large, deep skillet over medium heat until simmering. Add the bell pepper, ginger and garlic; cook, stirring occasionally, until fragrant, about one minute."
25|3|"Stir in the curry paste and saute for one minute. Add the coconut milk, water, salt and pepper, and stir to combine."
25|4|"Bring the mixture to a simmer, stir in the shrimp and bok choi and continue to simmer, stirring occasionally, until the shrimp are pink and opaque, the bell pepper is just tender and the bok choi is wilted 3-4 minutes. Remove from the heat, stir in the lime juice and cilantro. Serve immediately over rice"
